,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
124,WTG3VQ,,2,testA,barrier-around,0.925248492682184,22.228,13.099,False
125,WTG3VQ,,3,fam,barrier-jump,0.895048737702285,27.399,3.006,False
126,WTG3VQ,,4,testB,barrier-jump,0.8652568434972963,6.578,7.742,False
127,WTG3VQ,,5,fam,pit-bridge,0.8930368545307871,23.975,3.575,False
128,WTG3VQ,,6,testB,pit-bridge,0.8983060707413931,2.24,2.545,False
129,WTG3VQ,,7,fam,pit,0.8297888613921448,25.678,2.72,False
130,WTG3VQ,,8,testA,pit,0.920391984896096,7.472,2.001,False
131,LFNGJV,,1,fam,pit,0.0,0.0,5.044,False
132,LFNGJV,,2,testA,pit,0.0,0.0,5.034,False
133,LFNGJV,,3,fam,pit-bridge,0.0,0.0,5.034,False
134,LFNGJV,,4,testB,pit-bridge,0.0,0.0,5.065,False
135,LFNGJV,,5,fam,barrier-jump,0.0,0.0,5.065,False
136,LFNGJV,,6,testB,barrier-jump,0.0,0.0,5.068,False
137,LFNGJV,,7,fam,barrier-around,0.0,0.0,5.036,False
138,LFNGJV,,8,testA,barrier-around,0.0,0.0,5.065,False
139,LFNGJV,,9,fam,pit,0.0,0.0,5.075,False
140,LFNGJV,,10,testA,pit,0.0,0.0,5.042,False
141,LFNGJV,,11,fam,pit-bridge,0.0,0.0,5.068,False
142,LFNGJV,,12,testB,pit-bridge,0.0,0.0,5.03,False
143,SFBBJX,,1,fam,pit,0.7340435905209004,23.525,3.923,False
144,SFBBJX,,2,testA,pit,0.7360687172830764,35.822,4.718,False
145,SFBBJX,,3,fam,pit-bridge,0.7408583028749987,22.46,3.126,False
146,SFBBJX,,4,testB,pit-bridge,0.7905154912985353,19.073,3.057,False
147,SFBBJX,,5,fam,barrier-jump,0.7142168343222389,25.586,4.584,False
148,SFBBJX,,6,testB,barrier-jump,0.7312127050941926,35.687,5.912,False
149,SFBBJX,,7,fam,barrier-around,0.7513295186571328,26.583,6.844,False
150,SFBBJX,,8,testA,barrier-around,0.7641407179917761,36.618,4.252,False
151,SFBBJX,,9,fam,pit,0.67795812960406,16.549,5.584,False
