,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
301,H4AYHY,,5.0,fam,barrier-jump,0.8085723058594501,26.101,1.138,True
302,H4AYHY,,6.0,fam,barrier-jump,0.8167371782923626,23.758,3.824,True
303,H4AYHY,,7.0,fam,barrier-jump,0.8077866103273729,18.312,7.765,True
304,H4AYHY,,8.0,fam,barrier-jump,0.8513940949650372,3.517,1.617,True
305,H4AYHY,,9.0,testA,barrier-jump,0.8462960070710841,13.516,2.618,True
306,H4AYHY,,10.0,testB,barrier-jump,0.8398201649839228,5.866,3.066,True
307,H4AYHY,,11.0,testB,barrier-jump,0.7996629716621505,9.554,2.64,True
308,H4AYHY,,12.0,testA,barrier-jump,0.8148979970233904,14.392,7.706,True
309,H4AYHY,,13.0,testA,barrier-jump,0.8322143822531157,1.196,3.936,True
310,H4AYHY,,14.0,testB,barrier-jump,0.8611563383042813,1.75,4.315,True
311,RTPLRQ,,1.0,fam,barrier-jump,0.886189177550005,45.056,0.0,False
312,RTPLRQ,,2.0,fam,barrier-jump,0.8358066941885387,22.223,2.128,False
313,RTPLRQ,,3.0,fam,barrier-jump,0.8443866122724041,40.961,2.016,False
314,RTPLRQ,,4.0,fam,barrier-jump,0.834956618279395,41.183,2.0,False
315,RTPLRQ,,5.0,fam,barrier-jump,0.8470140512735566,17.728,2.128,True
316,RTPLRQ,,6.0,fam,barrier-jump,0.850808456453473,41.28,0.752,False
317,RTPLRQ,,7.0,fam,barrier-jump,0.781245242636483,12.977,4.0,True
318,RTPLRQ,,8.0,fam,barrier-jump,0.8136334102204505,5.743,2.128,True
319,RTPLRQ,,9.0,testB,barrier-jump,0.8875853823763984,6.864,2.001,True
320,RTPLRQ,,10.0,testA,barrier-jump,0.8532229645940281,7.232,2.112,True
321,RTPLRQ,,11.0,testA,barrier-jump,0.800707337402162,7.361,1.232,True
322,RTPLRQ,,12.0,testB,barrier-jump,0.9291710685460997,3.729,3.873,True
323,RTPLRQ,,13.0,testB,barrier-jump,0.7865881954922396,1.743,2.737,True
324,RTPLRQ,,14.0,testA,barrier-jump,0.800245879838864,10.705,2.733,True
325,UEDYEV,,1.0,fam,barrier-jump,0.8331907094538618,39.984,3.987,False
326,UEDYEV,,2.0,fam,barrier-jump,0.8207162956824254,43.438,1.293,False
327,UEDYEV,,3.0,fam,barrier-jump,0.7695050810651826,9.534,2.688,True
328,UEDYEV,,4.0,fam,barrier-jump,0.8670164420187068,7.728,2.033,False
329,UEDYEV,,5.0,fam,barrier-jump,0.826787902322149,26.575,4.07,False
330,UEDYEV,,6.0,fam,barrier-jump,0.8536946274054591,6.882,10.411,True
331,UEDYEV,,7.0,fam,barrier-jump,0.8568103891644305,34.823,6.064,False
332,UEDYEV,,8.0,fam,barrier-jump,0.8487762100383883,8.62,1.485,True
333,UEDYEV,,9.0,testA,barrier-jump,0.7246031134374558,7.668,2.865,True
334,UEDYEV,,10.0,testB,barrier-jump,0.9022961164444264,19.666,3.202,True
335,UEDYEV,,11.0,testB,barrier-jump,0.8660770698291499,3.831,0.0,False
336,UEDYEV,,12.0,testB,barrier-jump-repeat-1,0.8054040898077236,9.115,7.843,True
337,UEDYEV,,13.0,testA,barrier-jump,0.83936907351017,3.043,3.014,True
338,24WJWG,,1.0,fam,barrier-around,0.9592988066477318,43.49,0.943,False
