,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
151,SdF62S,,2.0,fam,pit-bridge,0.9380995339516436,20.003,20.723,1.84,False
152,SdF62S,,3.0,fam,pit-bridge,0.8812587872427207,10.428,30.577,1.312,False
153,SdF62S,,4.0,fam,pit-bridge,0.8619149444063579,15.808,24.728,1.685,False
154,SdF62S,,5.0,fam,pit-bridge,0.8919289050338505,9.633,32.197,2.875,False
155,SdF62S,,6.0,fam,pit-bridge,0.6802428272035387,1.051,32.785,3.208,True
156,SdF62S,,7.0,fam,pit-bridge,0.7921695604337661,5.088,10.869,3.359,True
157,SdF62S,,8.0,fam,pit-bridge,0.8708247185420634,6.643,29.424,2.81,True
158,SdF62S,,9.0,testA,pit-bridge,0.8358468520107554,1.626,5.816,3.125,True
159,SdF62S,,10.0,testB,pit-bridge,0.9025319305559,3.559,4.616,2.291,True
160,SdF62S,,11.0,testB,pit-bridge,0.9222582425620104,1.843,6.145,2.265,True
161,SdF62S,,12.0,testA,pit-bridge,0.846538191749936,5.711,13.946,3.965,True
162,SdF62S,,13.0,testA,pit-bridge,0.8848757975459717,0.0,4.852,4.0,False
163,SdF62S,,14.0,testA,pit-bridge-repeat-1,0.8527893996016579,5.706,4.906,0.941,True
164,SdF62S,,15.0,testB,pit-bridge,0.0,5.049,3.267,2.408,True
165,cPWHF4,,1.0,fam,barrier-around,0.9245832815307264,39.225,3.61,0.0,False
166,cPWHF4,,2.0,fam,barrier-around,0.9045147633102412,25.457,6.353,4.003,True
167,cPWHF4,,3.0,fam,barrier-around,0.9118256054008388,40.847,3.891,0.0,False
168,cPWHF4,,4.0,fam,barrier-around,0.8918970320300151,42.862,1.861,1.33,False
169,cPWHF4,,5.0,fam,barrier-around,0.8830446774593076,38.768,5.568,0.0,False
170,cPWHF4,,6.0,fam,barrier-around,0.9072226022197082,27.235,12.391,3.52,False
171,cPWHF4,,7.0,fam,barrier-around,0.9347134809618052,20.753,8.327,4.03,True
172,cPWHF4,,8.0,fam,barrier-around,0.8746864416382529,17.297,5.101,4.042,True
173,cPWHF4,,9.0,testB,barrier-around,0.8780217881154533,6.353,2.639,2.929,True
174,cPWHF4,,10.0,testA,barrier-around,0.8866708523477611,36.103,6.182,2.594,False
175,cPWHF4,,11.0,testA,barrier-around,0.9678444194793702,4.131,3.04,3.118,True
176,cPWHF4,,12.0,testB,barrier-around,0.8503131661842118,4.364,4.2,4.046,True
177,BMYAFZ,,1.0,fam,barrier-around,0.8967539200461224,28.993,10.164,4.006,True
178,BMYAFZ,,2.0,fam,barrier-around,0.8824491307533607,30.643,8.185,2.584,True
179,BMYAFZ,,3.0,fam,barrier-around,0.8792445507239212,20.244,6.971,4.002,True
180,BMYAFZ,,4.0,fam,barrier-around,0.8610006461235193,21.197,3.091,3.092,True
181,BMYAFZ,,5.0,fam,barrier-around,0.9319274075329304,13.906,10.273,3.798,True
182,BMYAFZ,,6.0,fam,barrier-around,0.8930177059690309,8.299,4.475,3.702,True
183,BMYAFZ,,7.0,fam,barrier-around,0.8842415529053386,6.513,4.628,3.994,True
184,BMYAFZ,,8.0,testB,barrier-around,0.8248665602283275,6.131,2.915,3.001,True
185,BMYAFZ,,9.0,testA,barrier-around,0.9467040157603648,5.069,5.029,3.901,True
186,BMYAFZ,,10.0,testA,barrier-around,0.9254322254432822,8.581,6.06,2.971,True
187,BMYAFZ,,11.0,testB,barrier-around,0.8672304616744861,7.562,2.482,2.441,True
188,3JRZDR,,1.0,fam,barrier-around,0.9443443323688946,32.05,11.343,1.504,False
189,3JRZDR,,2.0,fam,barrier-around,0.9418100804461764,31.325,11.69,0.236,False
190,3JRZDR,,3.0,fam,barrier-around,0.9146624715011707,31.059,11.554,0.035,False
191,3JRZDR,,4.0,fam,barrier-around,0.921278626014182,22.264,21.264,4.028,False
192,3JRZDR,,5.0,fam,barrier-around,0.862374095206565,3.831,7.532,3.399,True
193,3JRZDR,,6.0,fam,barrier-around,0.8632090002932447,3.23,2.866,3.065,True
194,3JRZDR,,7.0,fam,barrier-around,0.8817798464706069,14.623,8.638,3.099,True
195,3JRZDR,,8.0,testB,barrier-around,0.8981207451148397,25.194,10.056,1.7,True
196,3JRZDR,,9.0,testA,barrier-around,0.8988347801295193,21.126,1.133,1.234,True
197,ZALYBK,,1.0,fam,barrier-jump,0.8875939837604199,34.947,9.395,1.666,False
198,ZALYBK,,2.0,fam,barrier-jump,0.9158481215309322,29.385,14.958,0.0,False
199,ZALYBK,,3.0,fam,barrier-jump,0.8656722932634219,9.26,11.028,3.632,True
200,ZALYBK,,4.0,fam,barrier-jump,0.8578478616939204,18.855,24.421,4.032,False
201,ZALYBK,,5.0,fam,barrier-jump,0.7565475257349686,4.165,3.865,3.165,True
202,ZALYBK,,6.0,fam,barrier-jump,0.8529463994850233,9.728,6.397,3.031,True
203,ZALYBK,,7.0,fam,barrier-jump,0.8399609026088509,2.866,6.297,3.798,True
204,ZALYBK,,8.0,testB,barrier-jump,0.8573056770532056,23.126,19.622,1.332,False
205,ZALYBK,,9.0,testA,barrier-jump,0.8157219634287887,4.698,2.532,2.599,True
206,ZALYBK,,10.0,testA,barrier-jump,0.8450413689017295,27.785,15.557,2.931,False
207,ZALYBK,,11.0,testB,barrier-jump,0.8263201155634814,5.597,11.993,3.698,True
208,J4F5A2,,1.0,fam,barrier-jump,0.9380763621433922,11.586,4.784,4.021,False
209,J4F5A2,,2.0,fam,barrier-jump-repeat-1,0.9248095561387176,43.519,1.314,0.0,False
